date,price
2013/12/4,22.35
2013/12/5,22.8
2013/12/6,22.8
2013/12/9,23.25
2013/12/10,24.2
2013/12/11,23.8
2013/12/12,23.95
2013/12/13,24.1
2013/12/16,23.65
2013/12/17,24.1
2013/12/18,24.7
2013/12/19,24.65
2013/12/20,24.6
2013/12/23,23.5
2013/12/24,23.85
2013/12/25,23.9
2013/12/26,24.1
2013/12/27,24.05
2013/12/30,24.15
2013/12/31,24.2
2014/1/2,24.5
2014/1/3,24.85
2014/1/6,24.6
2014/1/7,24.9
2014/1/8,24.75
2014/1/9,23.6
2014/1/10,24.35
2014/1/13,24.4
2014/1/14,24.4
2014/1/15,24.65
2014/1/16,24.45
2014/1/17,24.35
2014/1/20,24.85
2014/1/21,26.55
2014/1/22,26.6
2014/1/23,25.95
2014/1/24,26
2014/1/27,26.5
2014/2/5,27.6
2014/2/6,29.25
2014/2/7,28.8
2014/2/10,29.1
2014/2/11,29.45
2014/2/12,29.3
2014/2/13,28.55
2014/2/14,28.55
2014/2/17,29.85
2014/2/18,29.8
2014/2/19,29.7
2014/2/20,28.4
2014/2/21,28.8
2014/2/24,29.7
2014/2/25,30.2
2014/2/26,30.15
2014/2/27,30.25
2014/3/3,29.8
2014/3/4,29.25
2014/3/5,29.55
2014/3/6,29.1
2014/3/7,27.95
2014/3/10,28.6
2014/3/11,28.75
2014/3/12,29.2
2014/3/13,29
2014/3/14,29.3
2014/3/17,29.9
2014/3/18,29.55
2014/3/19,29.8
2014/3/20,29.8
2014/3/21,30.05
2014/3/24,30.1
2014/3/25,30.1
2014/3/26,30.2
2014/3/27,32.3
2014/3/28,30.05
2014/3/31,30.1
2014/4/1,30.3
2014/4/2,30.65
2014/4/3,30.25
2014/4/7,30
2014/4/8,30.6
2014/4/9,31.1
2014/4/10,31.4
2014/4/11,31.5
2014/4/14,31.6
2014/4/15,31.9
2014/4/16,33
2014/4/17,32.55
2014/4/18,32.2
2014/4/21,32.15
2014/4/22,33.2
2014/4/23,32.9
2014/4/24,32.9
2014/4/25,32.1
2014/4/28,33.1
2014/4/29,33.75
2014/4/30,33
2014/5/2,33.35
